id,name,subClass,class,quality
25,Worn Shortsword,Sword,Weapon,Common
35,Bent Staff,Staff,Weapon,Common
36,Worn Mace,Mace,Weapon,Common
37,Worn Axe,Axe,Weapon,Common
38,Recruit's Shirt,Miscellaneous,Armor,Uncommon
39,Recruit's Pants,Plate,Armor,Common
40,Recruit's Boots,Plate,Armor,Common
43,Squire's Boots,Plate,Armor,Common
44,Squire's Pants,Plate,Armor,Common
45,Squire's Shirt,Miscellaneous,Armor,Uncommon
47,Footpad's Shoes,Leather,Armor,Common
48,Footpad's Pants,Leather,Armor,Common
49,Footpad's Shirt,Miscellaneous,Armor,Uncommon
51,Neophyte's Boots,Cloth,Armor,Common
52,Neophyte's Pants,Cloth,Armor,Common
53,Neophyte's Shirt,Miscellaneous,Armor,Uncommon
55,Apprentice's Boots,Cloth,Armor,Common
56,Apprentice's Robe,Cloth,Armor,Common
57,Acolyte's Robe,Cloth,Armor,Common
59,Acolyte's Shoes,Cloth,Armor,Common
60,Layered Tunic,Leather,Armor,Common
61,Dwarven Leather Pants,Leather,Armor,Common
79,Dwarven Cloth Britches,Cloth,Armor,Common
80,Soft Fur-Lined Shoes,Cloth,Armor,Common
85,Dirty Leather Vest,Leather,Armor,Common
117,Tough Jerky,Food & Drink,Consumable,Common
118,Minor Healing Potion,Potions,Consumable,Common
120,Thug Pants,Leather,Armor,Common
121,Thug Boots,Leather,Armor,Common
127,Trapper's Shirt,Miscellaneous,Armor,Uncommon
129,Rugged Trapper's Boots,Mail,Armor,Common
139,Brawler's Pants,Plate,Armor,Common
140,Brawler's Boots,Plate,Armor,Common
147,Rugged Trapper's Pants,Mail,Armor,Common
148,Rugged Trapper's Shirt,Miscellaneous,Armor,Uncommon
153,Primitive Kilt,Leather,Armor,Common
154,Primitive Mantle,Miscellaneous,Armor,Uncommon
159,Refreshing Spring Water,Food & Drink,Consumable,Common
182,Garrick's Head,Quest,Quest,Common
193,Tattered Cloth Vest,Cloth,Armor,Common
194,Tattered Cloth Pants,Cloth,Armor,Common
195,Tattered Cloth Boots,Cloth,Armor,Common
200,Thick Cloth Vest,Cloth,Armor,Common
201,Thick Cloth Pants,Cloth,Armor,Common
202,Thick Cloth Shoes,Cloth,Armor,Common
203,Thick Cloth Gloves,Cloth,Armor,Common
209,Dirty Leather Pants,Leather,Armor,Common
210,Dirty Leather Boots,Leather,Armor,Common
236,Cured Leather Armor,Leather,Armor,Common
237,Cured Leather Pants,Leather,Armor,Common
238,Cured Leather Boots,Leather,Armor,Common
239,Cured Leather Gloves,Leather,Armor,Common
285,Scalemail Vest,Mail,Armor,Common
286,Scalemail Pants,Mail,Armor,Common
287,Scalemail Boots,Mail,Armor,Common
414,Dalaran Sharp,Food & Drink,Consumable,Common
422,Dwarven Mild,Food & Drink,Consumable,Common
537,Dull Frenzy Scale,Junk,Miscellaneous,Poor
555,Rough Vulture Feathers,Junk,Miscellaneous,Poor
556,Buzzard Beak,Junk,Miscellaneous,Poor
647,Destiny,Sword,Weapon,Epic
710,Bracers of the People's Militia,Cloth,Armor,Common
711,Tattered Cloth Gloves,Cloth,Armor,Common
714,Dirty Leather Gloves,Leather,Armor,Common
718,Scalemail Gloves,Mail,Armor,Common
719,Rabbit Handler Gloves,Cloth,Armor,Common
720,Brawler Gloves,Leather,Armor,Rare
723,Goretusk Liver,Cooking,Tradeskill,Common
724,Goretusk Liver Pie,Food & Drink,Consumable,Common
725,Gnoll Paw,Quest,Quest,Common
727,Notched Shortsword,Sword,Weapon,Uncommon
728,Recipe: Westfall Stew,Cooking,Recipe,Common
729,Stringy Vulture Meat,Cooking,Tradeskill,Poor
730,Murloc Eye,Cooking,Tradeskill,Poor
731,Goretusk Snout,Cooking,Tradeskill,Poor
732,Ripe Okra,Trade Goods (OBSOLETE),Tradeskill,Poor
733,Westfall Stew,Food & Drink,Consumable,Common
735,Rolf and Malakai's Medallions,Quest,Quest,Common
737,Holy Spring Water,Quest,Quest,Common
738,Sack of Barley,Quest,Quest,Common
739,Sack of Corn,Quest,Quest,Common
740,Sack of Rye,Quest,Quest,Common
742,A Sycamore Branch,Quest,Quest,Common
743,Bundle of Charred Oak,Quest,Quest,Common
744,Thunderbrew's Boot Flask,Miscellaneous,Armor,Uncommon
745,Marshal McBride's Documents,Quest,Quest,Common
748,Stormwind Armor Marker,Quest,Quest,Common
750,Tough Wolf Meat,Quest,Quest,Common
752,Red Burlap Bandana,Quest,Quest,Common
753,Dragonmaw Shortsword,Sword,Weapon,Uncommon
754,Shortsword of Vengeance,Sword,Weapon,Rare
755,Melted Candle,Junk,Miscellaneous,Poor
756,Tunnel Pick,Axe,Weapon,Uncommon
763,Ice-Covered Bracers,Leather,Armor,Common
765,Silverleaf,Herb,Tradeskill,Common
766,Flanged Mace,Mace,Weapon,Common
767,Long Bo Staff,Staff,Weapon,Common
768,Lumberjack Axe,Axe,Weapon,Common
769,Chunk of Boar Meat,Cooking,Tradeskill,Common
770,Pointy Crocolisk Tooth,Junk,Miscellaneous,Poor
771,Chipped Boar Tusk,Junk,Miscellaneous,Poor
772,Large Candle,Quest,Quest,Common
773,Gold Dust,Quest,Quest,Common
774,Malachite,Jewelcrafting,Tradeskill,Uncommon
776,Vendetta,Dagger,Weapon,Rare
777,Prowler Teeth,Junk,Miscellaneous,Poor
778,Kobold Excavation Pick,Mining,Profession,Common
779,Shiny Seashell,Junk,Miscellaneous,Poor
780,Torn Murloc Fin,Quest,Quest,Common
781,Stone Gnoll Hammer,Mace,Weapon,Common
782,Painted Gnoll Armband,Quest,Quest,Common
783,Light Hide,Leather,Tradeskill,Common
785,Mageroyal,Herb,Tradeskill,Common
787,Slitherskin Mackerel,Food & Drink,Consumable,Common
789,Stout Battlehammer,Mace,Weapon,Uncommon
790,Forester's Axe,Axe,Weapon,Uncommon
791,Gnarled Ash Staff,Staff,Weapon,Rare
792,Knitted Sandals,Cloth,Armor,Common
793,Knitted Gloves,Cloth,Armor,Common
794,Knitted Pants,Cloth,Armor,Common
795,Knitted Tunic,Cloth,Armor,Common
796,Rough Leather Boots,Leather,Armor,Common
797,Rough Leather Gloves,Leather,Armor,Common
798,Rough Leather Pants,Leather,Armor,Common
799,Rough Leather Vest,Leather,Armor,Common
804,Large Blue Sack,Bag,Container,Common
805,Small Red Pouch,Bag,Container,Common
809,Bloodrazor,Sword,Weapon,Epic
810,Hammer of the Northern Wind,Mace,Weapon,Epic
811,Axe of the Deep Woods,Axe,Weapon,Epic
812,Glowing Brightwood Staff,Staff,Weapon,Epic
813,Broken Cog,Junk,Miscellaneous,Poor
814,Flask of Oil,Parts,Tradeskill,Common
816,Small Hand Blade,Dagger,Weapon,Uncommon
818,Tigerseye,Jewelcrafting,Tradeskill,Uncommon
820,Slicer Blade,Dagger,Weapon,Uncommon
821,Riverpaw Leather Vest,Leather,Armor,Uncommon
826,Brutish Riverpaw Axe,Axe,Weapon,Uncommon
827,Wicked Blackjack,Mace,Weapon,Uncommon
828,Small Blue Pouch,Bag,Container,Common
829,Red Leather Bandana,Quest,Quest,Common
832,Silver Defias Belt,Mail,Armor,Uncommon
833,Lifestone,Miscellaneous,Armor,Epic
835,Large Rope Net,Other,Consumable,Common
837,Heavy Weave Armor,Cloth,Armor,Common
